Freq.	I(R1)
4.45000000000000e+05	(-1.68387508562138e+02dB,9.97378007754456e+01°)
4.50000000000000e+05	(-1.60627849787105e+02dB,1.76548016012753e+02°)
4.55000000000000e+05	(-1.68703184424944e+02dB,9.88285887811030e+01°)
4.60000000000000e+05	(-1.68729274699151e+02dB,9.88424674747980e+01°)
4.65000000000000e+05	(-1.68775086544571e+02dB,9.89825338868050e+01°)
4.70000000000000e+05	(-1.68866240410110e+02dB,9.87456395434074e+01°)
4.75000000000000e+05	(-1.68929067132433e+02dB,9.86307409975780e+01°)
4.80000000000000e+05	(-1.69027543491556e+02dB,9.87947826902732e+01°)
4.85000000000000e+05	(-1.69116982152087e+02dB,9.87545926766667e+01°)
4.90000000000000e+05	(-1.69154799223392e+02dB,9.85753680942952e+01°)
4.95000000000000e+05	(-1.69130037167720e+02dB,9.83833324793267e+01°)
5.00000000000000e+05	(-1.64534071478123e+02dB,4.27189360490391e+01°)
5.05000000000000e+05	(-1.69420406606199e+02dB,9.95323562795811e+01°)
5.10000000000000e+05	(-1.69483262104144e+02dB,9.92571831201674e+01°)
5.15000000000000e+05	(-1.69553463173839e+02dB,9.89430525752164e+01°)
5.20000000000000e+05	(-1.69619628070923e+02dB,9.88658522577312e+01°)
5.25000000000000e+05	(-1.69715421783838e+02dB,9.89629329352202e+01°)
5.30000000000000e+05	(-1.69779371897792e+02dB,9.87235523298082e+01°)
5.35000000000000e+05	(-1.69810409144884e+02dB,9.87338056915661e+01°)
5.40000000000000e+05	(-1.69919808632122e+02dB,9.86581658719169e+01°)
5.45000000000000e+05	(-1.70042482905201e+02dB,9.85962715097196e+01°)
5.50000000000000e+05	(-1.68639335303039e+02dB,7.37908337994313e+01°)
5.55000000000000e+05	(-1.70257977365743e+02dB,9.73664388366531e+01°)
5.60000000000000e+05	(-1.70209940856361e+02dB,9.77374740885538e+01°)
5.65000000000000e+05	(-1.70259313989561e+02dB,9.80063873389512e+01°)
5.70000000000000e+05	(-1.70350964389397e+02dB,9.77863915750453e+01°)
5.75000000000000e+05	(-1.70399390248636e+02dB,9.76940802179035e+01°)
5.80000000000000e+05	(-1.70477078478587e+02dB,9.79097724715808e+01°)
5.85000000000000e+05	(-1.70554629465199e+02dB,9.80002303613853e+01°)
5.90000000000000e+05	(-1.70562303519004e+02dB,9.78852197767829e+01°)
5.95000000000000e+05	(-1.70557992744013e+02dB,9.79355568317950e+01°)
6.00000000000000e+05	(-1.66396425670011e+02dB,7.61832030200607e+01°)
6.05000000000000e+05	(-1.70896512151067e+02dB,9.87757961789004e+01°)
6.10000000000000e+05	(-1.70911264802284e+02dB,9.83361562937006e+01°)
6.15000000000000e+05	(-1.70959326637397e+02dB,9.77614821422052e+01°)
6.20000000000000e+05	(-1.71026874606999e+02dB,9.77228246963121e+01°)
6.25000000000000e+05	(-1.71134359793770e+02dB,9.78831919759227e+01°)
6.30000000000000e+05	(-1.71179265900414e+02dB,9.76258378160822e+01°)
6.35000000000000e+05	(-1.71210610184586e+02dB,9.76632027958555e+01°)
6.40000000000000e+05	(-1.71313367063277e+02dB,9.74570115948651e+01°)
6.45000000000000e+05	(-1.71430250970711e+02dB,9.74562673553468e+01°)
6.50000000000000e+05	(-1.63059912050422e+02dB,7.83714198051826e+01°)
6.55000000000000e+05	(-1.71512912973803e+02dB,9.63459623213171e+01°)
